action_walk_run	a	0	A silver-haired woman in a weathered red field jacket crosses a rain-slick old European square at blue hour, walking steadily past the same green tram, wet cobblestones, clock tower, and cafe awnings; medium tracking shot, realistic skin and fabric, restrained cinematic lighting.
action_walk_run	b	0	A silver-haired woman in a weathered red field jacket crosses a rain-slick old European square at blue hour, suddenly running past the same green tram, wet cobblestones, clock tower, and cafe awnings as loose papers lift behind her; medium tracking shot, realistic skin and fabric, restrained cinematic lighting.
action_walk_run	a	1	A silver-haired woman in a weathered red field jacket crosses a rain-slick old European square at blue hour, walking steadily past the same green tram, wet cobblestones, clock tower, and cafe awnings; medium tracking shot, realistic skin and fabric, restrained cinematic lighting.
action_walk_run	b	1	A silver-haired woman in a weathered red field jacket crosses a rain-slick old European square at blue hour, suddenly running past the same green tram, wet cobblestones, clock tower, and cafe awnings as loose papers lift behind her; medium tracking shot, realistic skin and fabric, restrained cinematic lighting.
action_carry_open	a	0	A middle-aged watchmaker with round brass glasses and a navy apron stands at the same crowded walnut workbench, carefully carrying a closed antique music box between both hands; tiny gears, green desk lamp, rain on the window, macro cinematic realism.
action_carry_open	b	0	A middle-aged watchmaker with round brass glasses and a navy apron stands at the same crowded walnut workbench, carefully opening the antique music box as its mechanism begins to turn; tiny gears, green desk lamp, rain on the window, macro cinematic realism.
action_carry_open	a	1	A middle-aged watchmaker with round brass glasses and a navy apron stands at the same crowded walnut workbench, carefully carrying a closed antique music box between both hands; tiny gears, green desk lamp, rain on the window, macro cinematic realism.
action_carry_open	b	1	A middle-aged watchmaker with round brass glasses and a navy apron stands at the same crowded walnut workbench, carefully opening the antique music box as its mechanism begins to turn; tiny gears, green desk lamp, rain on the window, macro cinematic realism.
camera_track_orbit	a	0	A young Black cellist in a dark emerald concert dress performs alone in the same abandoned glasshouse filled with white lilies and drifting dust, the camera tracking slowly from left to right while her face, hairstyle, instrument, and warm sunset lighting remain consistent.
camera_track_orbit	b	0	A young Black cellist in a dark emerald concert dress performs alone in the same abandoned glasshouse filled with white lilies and drifting dust, the camera making a slow full orbit around her while her face, hairstyle, instrument, and warm sunset lighting remain consistent.
camera_track_orbit	a	1	A young Black cellist in a dark emerald concert dress performs alone in the same abandoned glasshouse filled with white lilies and drifting dust, the camera tracking slowly from left to right while her face, hairstyle, instrument, and warm sunset lighting remain consistent.
camera_track_orbit	b	1	A young Black cellist in a dark emerald concert dress performs alone in the same abandoned glasshouse filled with white lilies and drifting dust, the camera making a slow full orbit around her while her face, hairstyle, instrument, and warm sunset lighting remain consistent.
camera_wide_close	a	0	An elderly Japanese ceramic artist with cropped gray hair shapes a cobalt clay vessel in the same quiet wooden studio, shown in a wide locked composition with shelves of pale bowls, paper windows, and soft morning light.
camera_wide_close	b	0	An elderly Japanese ceramic artist with cropped gray hair shapes a cobalt clay vessel in the same quiet wooden studio, shown in a slow close push toward her hands and concentrated face, with the same shelves of pale bowls, paper windows, and soft morning light.
camera_wide_close	a	1	An elderly Japanese ceramic artist with cropped gray hair shapes a cobalt clay vessel in the same quiet wooden studio, shown in a wide locked composition with shelves of pale bowls, paper windows, and soft morning light.
camera_wide_close	b	1	An elderly Japanese ceramic artist with cropped gray hair shapes a cobalt clay vessel in the same quiet wooden studio, shown in a slow close push toward her hands and concentrated face, with the same shelves of pale bowls, paper windows, and soft morning light.
scene_platform_carriage	a	0	A tall detective in a charcoal overcoat and burgundy scarf follows a black cat through the same 1930s railway station, moving along a foggy platform beneath iron arches and amber lamps; precise period details, stable identity, realistic cinematic motion.
